iter	RMSE
456	3429.943094
457	3427.720788
458	3425.774949
459	3423.661081
460	3421.648396
461	3418.8042
462	3417.726797
463	3415.622333
464	3413.778793
465	3412.37314
466	3411.01116
467	3410.756217
468	3409.9368
469	3409.563473
470	3407.327286
471	3405.222152
472	3404.385398
473	3402.717568
474	3402.012042
475	3401.17583
476	3398.69585
477	3397.053194
478	3396.413987
479	3395.930614
480	3393.752437
481	3393.07613
482	3391.566608
483	3388.325907
484	3387.167199
485	3386.964308
486	3385.648784
487	3384.326477
488	3381.279905
489	3380.531655
490	3380.246942
491	3379.280408
492	3375.667978
493	3373.621291
494	3372.194671
495	3371.726094
496	3370.662017
497	3367.42162
498	3365.3512
499	3364.677847
500	3364.462218
501	3364.012885
502	3362.880746
503	3361.537143
504	3360.662386
505	3358.578845
506	3357.745089
507	3357.094998
508	3354.772911
509	3352.157056
510	3350.878099
511	3347.109196
512	3343.339394
513	3341.763621
514	3340.299259
515	3338.592424
516	3335.668275
517	3335.148321
518	3333.811441
519	3333.591484
520	3332.678626
521	3332.399371
522	3331.375518
523	3330.829536
524	3327.442534
525	3325.04363
526	3324.005901
527	3321.798675
528	3320.884587
529	3319.841078
530	3319.260866
531	3318.023385
532	3315.080977
533	3312.25098
534	3310.184465
535	3309.124077
536	3308.196685
537	3307.227484
538	3306.172365
539	3306.015835
540	3305.262201
541	3304.175433
542	3301.41402
543	3300.73606
544	3300.553643
545	3299.070832
546	3298.210684
547	3297.539806
548	3296.939491
549	3296.732721
550	3294.501388
551	3294.125679
552	3291.970302
553	3288.898304
554	3288.446486
555	3285.249191
556	3284.43628
557	3282.872536
558	3281.649526
559	3280.253949
560	3279.355128
561	3277.485149
562	3275.974196
563	3275.516394
564	3274.624606
565	3272.431137
566	3270.935406
567	3269.325798
568	3268.41203
569	3268.031203
570	3267.814237
571	3266.615472
572	3265.439245
573	3264.31552
574	3263.15017
575	3261.074221
576	3259.942195
577	3258.169097
578	3256.100157
579	3254.089303
580	3251.647008
581	3250.380607
582	3248.331846
583	3247.273253
584	3246.420914
585	3243.204276
586	3240.571966
587	3239.870223
588	3237.789557
589	3236.324493
590	3234.323842
591	3232.502476
592	3230.376831
593	3229.926532
594	3228.003988
595	3226.009006
596	3223.692812
597	3222.622163
598	3221.264809
599	3220.379122
600	3217.336211
601	3215.746531
602	3213.586789
603	3213.411703
604	3211.998074
605	3210.673237
606	3208.782608
607	3206.90016
608	3206.619632
609	3205.816218
610	3204.066575
611	3201.131224
612	3198.592681
613	3197.977391
614	3196.823043
615	3195.438747
616	3193.84073
617	3193.044058
618	3192.817345
619	3191.991432
620	3191.216042
621	3190.430998
622	3188.350177
623	3187.583775
624	3186.347723
625	3185.446733
626	3183.955577
627	3182.128543
628	3179.454852
629	3178.020906
630	3175.448681
631	3174.478497
632	3173.673962
633	3171.050017
634	3168.616938
635	3168.434073
636	3166.524977
637	3165.740799
638	3164.999588
639	3162.814242
640	3162.111373
641	3161.334828
642	3158.957562
643	3158.182754
644	3156.961709
645	3155.514568
646	3153.060386
647	3151.633011
648	3149.452496
649	3148.364324
650	3147.045745
651	3146.11313
652	3145.592829
653	3145.380978
654	3143.590419
655	3141.65914
656	3141.460463
657	3139.759605
658	3139.13407
659	3138.863662
660	3135.946175
661	3135.303507
662	3135.188454
663	3134.007801
664	3132.506133
665	3131.765218
666	3131.050659
667	3130.837895
668	3130.219958
669	3130.100859
670	3128.384824
671	3126.285935
672	3124.151054
673	3122.709825
674	3122.135588
675	3121.095167
676	3120.189511
677	3118.802908
678	3118.290114
679	3118.201523
680	3115.803845
681	3113.757463
682	3113.14502
683	3111.366635
684	3110.350417
685	3109.623995
686	3108.238448
687	3107.917417
688	3107.574278
689	3107.084774
690	3104.200616
691	3103.303035
692	3100.945955
693	3099.448602
694	3098.089419
695	3096.220844
696	3094.496348
697	3093.931278
698	3091.753331
699	3090.970057
700	3087.755155
701	3087.084381
702	3086.63363
703	3084.325508
704	3083.436495
705	3082.28268
706	3082.058513
707	3081.431203
708	3080.432164
709	3078.744785
710	3077.682976
711	3075.586088
712	3074.712722
713	3073.838937
714	3073.379009
715	3072.228778
716	3071.370725
717	3069.697012
718	3067.360779
719	3064.300782
720	3063.604656
721	3062.599975
722	3059.615205
723	3059.256802
724	3058.070274
725	3056.794955
726	3054.872227
727	3054.479201
728	3051.521758
729	3047.738853
730	3045.428236
731	3044.339035
732	3043.350447
733	3041.446833
734	3039.327734
735	3037.519692
736	3036.007402
737	3035.617796
738	3034.665332
739	3033.652635
740	3033.0482
741	3032.088414
742	3029.732375
743	3028.466488
744	3024.878034
745	3023.942789
746	3021.704434
747	3020.710018
748	3019.512125
749	3017.455331
750	3015.124472
751	3013.251873
752	3010.824112
753	3007.510909
754	3005.217095
755	3004.121411
756	3004.021938
757	3002.786033
758	3001.248073
759	3001.007716
760	2999.362664
761	2999.030692
762	2997.083553
763	2995.57689
764	2995.16751
765	2994.483752
766	2992.340242
767	2991.01652
768	2989.623849
769	2987.474549
770	2986.435372
771	2985.612534
772	2985.50651
773	2983.669416
774	2982.72902
775	2980.254844
776	2978.571306
777	2977.610605
778	2976.257605
779	2974.89233
780	2973.581582
781	2973.232833
782	2971.463624
783	2967.960134
784	2966.112067
785	2965.340448
786	2964.518468
787	2963.920665
788	2962.506039
789	2962.318874
790	2961.179137
791	2959.849426
792	2958.876463
793	2957.489659
794	2953.647393
795	2952.041765
796	2950.939476
797	2949.547711
798	2948.557339
799	2947.467356
800	2946.206425
801	2944.276119
802	2942.144426
803	2941.265055
804	2939.404654
805	2938.380784
806	2936.115617
807	2934.326201
808	2932.613702
809	2931.399087
810	2930.494999
811	2929.579856
812	2926.843829
813	2926.210337
814	2925.558433
815	2923.733943
816	2922.742523
817	2922.189652
818	2919.059077
819	2918.515393
820	2917.620533
821	2917.290729
822	2915.747583
823	2915.278172
824	2914.62571
825	2913.812056
826	2913.590322
827	2910.905398
828	2910.044902
829	2908.913033
830	2907.806875
831	2906.692003
832	2905.80787
833	2905.020539
834	2903.437943
835	2902.370938
836	2901.435292
837	2901.152486
838	2900.808529
839	2899.290167
840	2897.250489
841	2896.685255
842	2895.85053
843	2895.109353
844	2894.211246
845	2893.176766
846	2891.357217
847	2890.834126
848	2889.249865
849	2887.277194
850	2885.702016
851	2884.901163
852	2884.120948
853	2883.299751
854	2882.051517
855	2881.017825
856	2879.992614
857	2877.81927
858	2876.635189
859	2875.708298
860	2875.114698
861	2874.338209
862	2873.704514
863	2870.688049
864	2867.233404
865	2866.406381
866	2864.883251
867	2863.728495
868	2862.152738
869	2861.841032
870	2860.003391
871	2858.225371
872	2856.156418
873	2853.786227
874	2851.919966
875	2849.93942
876	2849.402236
877	2848.598638
878	2846.862182
879	2846.210929
880	2844.216567
881	2843.120518
882	2840.604528
883	2838.772735
884	2837.621861
885	2836.372497
886	2835.601688
887	2835.221456
888	2834.320138
889	2833.804651
890	2833.485386
891	2832.60995
892	2831.376672
893	2830.494093
894	2829.817517
895	2829.133521
896	2828.370965
897	2827.76229
898	2826.657323
899	2823.996345
900	2822.899716
901	2822.575215
902	2821.874362
903	2820.25587
904	2819.07607
905	2818.359781
906	2817.782889
907	2815.884851
908	2814.455214
909	2813.455119
910	2811.407197
911	2810.571851
912	2808.39102
913	2806.141557
914	2805.156964
915	2804.131271
916	2801.942808
917	2800.977227
918	2799.952889
919	2799.821211
920	2797.220071
921	2796.263315
922	2794.78143
923	2792.72429
924	2792.206866
925	2791.390847
926	2789.425429
927	2789.308618
928	2787.718881
929	2786.134016
930	2785.688674
931	2784.622219
932	2783.181814
933	2781.915972
934	2779.364555
935	2777.53745
936	2775.305336
937	2774.299764
938	2772.647716
939	2772.339167
940	2771.256434
941	2769.838094
942	2769.042661
943	2768.334818
944	2767.075175
945	2766.228359
946	2765.936234
947	2763.698103
948	2761.555395
949	2760.111158
950	2758.470022
951	2757.914738
952	2756.601485
953	2755.311909
954	2754.792471
955	2754.189947
956	2754.107872
957	2753.385456
958	2752.243133
959	2751.397421
960	2750.480678
961	2749.946413
962	2747.749026
963	2746.728839
964	2745.567924
965	2744.753764
966	2743.223599
967	2741.860521
968	2739.98789
969	2738.645841
970	2736.312361
971	2734.441522
972	2733.135511
973	2731.29956
974	2730.455653
975	2730.094139
976	2729.323838
977	2728.355751
978	2727.399064
979	2725.759891
980	2724.295575
981	2724.044025
982	2723.112129
983	2722.859552
984	2721.901146
985	2721.001621
986	2720.766303
987	2719.783841
988	2719.51512
989	2718.467042
990	2717.795844
991	2717.707025
992	2716.476095
993	2715.275257
994	2714.159329
995	2713.052268
996	2712.784971
997	2711.628547
998	2711.353084
999	2710.9899
