iter	Passed	Remaining
0	1	89
1	3	77
2	4	66
3	5	67
4	7	69
5	9	67
6	10	66
7	12	64
8	13	63
9	15	62
10	17	61
11	19	60
12	20	58
13	22	57
14	23	53
15	24	51
16	25	49
17	26	46
18	27	45
19	29	44
20	31	42
21	32	41
22	34	40
23	36	39
24	37	37
25	38	35
26	39	34
27	41	32
28	43	31
29	45	30
30	46	28
31	48	27
32	49	25
33	51	24
34	53	22
35	55	21
36	56	20
37	58	18
38	60	17
39	61	15
40	63	13
41	65	12
42	67	10
43	68	9
44	70	7
45	72	6
46	73	4
47	74	3
48	76	1
49	78	0
